sample_id,regime,tau_norm,s1,s2,s3,s4,s5,k_star,norm_at_kstar
161,threshold,5.0,-321.403076171875,15.442031860351562,13272.517578125,64.9619140625,5.557343006134033,248,5.557343006134033
162,threshold,5.0,-262.86181640625,16.16549301147461,9343.2412109375,55.160091400146484,5.686034202575684,248,5.686034202575684
163,threshold,5.0,-290.4486083984375,14.132488250732422,16659.125,56.93796920776367,5.316481590270996,248,5.316481590270996
164,threshold,5.0,-210.9622802734375,12.478818893432617,13434.673828125,51.79012680053711,4.979121208190918,221,4.995761871337891
165,threshold,5.0,-230.97119140625,12.476449966430664,10029.2236328125,56.51119613647461,4.979543209075928,223,4.995287895202637
166,threshold,5.0,-440.92724609375,21.266490936279297,18801.998046875,66.92755126953125,6.521731376647949,248,6.521731376647949
167,threshold,5.0,-242.16693115234375,12.440982818603516,10685.7919921875,57.59480667114258,4.970447540283203,239,4.988182544708252
168,threshold,5.0,-327.53485107421875,15.564050674438477,14770.0908203125,63.930416107177734,5.579256534576416,248,5.579256534576416
169,threshold,5.0,-218.77395629882812,12.438836097717285,10290.1435546875,53.193458557128906,4.971763610839844,231,4.987752437591553
170,threshold,5.0,-226.46676635742188,12.451813697814941,11391.720703125,55.91004943847656,4.975858688354492,235,4.990353107452393
171,threshold,5.0,-206.98974609375,12.456424713134766,11413.7373046875,50.8368034362793,4.971062660217285,222,4.99127721786499
172,threshold,5.0,-436.0226135253906,18.579973220825195,23513.634765625,61.7314453125,6.095895767211914,248,6.095895767211914
173,threshold,5.0,-338.2884521484375,16.117908477783203,13389.1943359375,65.45604705810547,5.677659034729004,248,5.677659034729004
174,threshold,5.0,-278.24810791015625,14.235219955444336,12150.1650390625,60.13446044921875,5.3357696533203125,248,5.3357696533203125
175,threshold,5.0,-544.1485595703125,25.16342544555664,26973.4765625,64.05631256103516,7.094141960144043,248,7.094141960144043
176,threshold,5.0,-329.44696044921875,17.836835861206055,10962.96484375,63.55707550048828,5.972743988037109,248,5.972743988037109
177,threshold,5.0,-237.58193969726562,12.491735458374023,11301.3857421875,57.673519134521484,4.981997489929199,203,4.99834680557251
178,threshold,5.0,-355.60980224609375,18.15254020690918,14328.517578125,60.85871505737305,6.025369644165039,248,6.025369644165039
179,threshold,5.0,-226.01275634765625,12.457902908325195,13949.7001953125,52.258331298828125,4.972568988800049,201,4.991573333740234
180,threshold,5.0,-348.6721496582031,17.626806259155273,14722.484375,58.12147521972656,5.937474727630615,248,5.937474727630615
181,threshold,5.0,-223.5677490234375,12.416131973266602,9434.484375,55.24125289916992,4.964907646179199,229,4.983198165893555
182,threshold,5.0,-264.242431640625,13.460001945495605,12703.1064453125,59.73563003540039,5.188448905944824,248,5.188448905944824
183,threshold,5.0,-227.82249450683594,12.454647064208984,13215.0263671875,56.05378723144531,4.975433826446533,214,4.9909210205078125
184,threshold,5.0,-333.470947265625,15.450660705566406,15609.1787109375,63.0678825378418,5.558896064758301,248,5.558896064758301
185,threshold,5.0,-247.36758422851562,12.536687850952148,10133.990234375,57.47463607788086,5.0073323249816895,248,5.0073323249816895
186,threshold,5.0,-194.41897583007812,12.489498138427734,11402.861328125,51.346099853515625,4.969344139099121,199,4.997899055480957
187,threshold,5.0,-470.5108642578125,21.169668197631836,22503.1640625,66.93742370605469,6.506868362426758,248,6.506868362426758
188,threshold,5.0,-318.884033203125,12.643692016601562,20059.84375,57.82514190673828,5.028656482696533,248,5.028656482696533
189,threshold,5.0,-273.47381591796875,13.442304611206055,10612.7880859375,60.84481430053711,5.185037136077881,248,5.185037136077881
190,threshold,5.0,-280.6330261230469,14.432846069335938,13443.7353515625,56.84101486206055,5.372680187225342,248,5.372680187225342
191,threshold,5.0,-202.00021362304688,12.43704891204834,10043.9287109375,50.875030517578125,4.967050075531006,193,4.987393856048584
192,threshold,5.0,-252.42160034179688,13.488277435302734,10255.1953125,58.05634307861328,5.193896293640137,248,5.193896293640137
193,threshold,5.0,-254.89280700683594,12.445497512817383,13261.2275390625,61.39838409423828,4.97354793548584,232,4.9890875816345215
194,threshold,5.0,-201.1818084716797,12.423684120178223,10351.7353515625,53.52511978149414,4.963286876678467,194,4.984713554382324
195,threshold,5.0,-353.94207763671875,17.334335327148438,17364.25390625,57.508487701416016,5.8880109786987305,248,5.8880109786987305
196,threshold,5.0,-322.63580322265625,14.879356384277344,13685.935546875,65.29026794433594,5.455154895782471,248,5.455154895782471
197,threshold,5.0,-321.49346923828125,16.92412567138672,15849.7763671875,59.71428680419922,5.817924976348877,248,5.817924976348877
198,threshold,5.0,-306.6234436035156,16.777212142944336,12560.2939453125,58.50252151489258,5.792618274688721,248,5.792618274688721
199,threshold,5.0,-240.32737731933594,12.446172714233398,12356.455078125,54.81658935546875,4.9718852043151855,216,4.989223003387451
200,threshold,5.0,-348.89288330078125,18.809389114379883,13273.2802734375,61.4321174621582,6.1334147453308105,248,6.1334147453308105
201,threshold,5.0,-331.6648864746094,13.883631706237793,19149.603515625,56.714752197265625,5.26946496963501,248,5.26946496963501
202,threshold,5.0,-222.95126342773438,12.415278434753418,10527.6875,54.376243591308594,4.970998287200928,207,4.98302698135376
203,threshold,5.0,-243.89089965820312,12.421239852905273,10444.361328125,59.59715270996094,4.960618495941162,193,4.984222888946533
204,threshold,5.0,-303.81781005859375,16.66183090209961,12713.66796875,56.794151306152344,5.772665023803711,248,5.772665023803711
205,threshold,5.0,-255.25918579101562,13.234163284301758,10643.9140625,55.28353500366211,5.144737720489502,248,5.144737720489502
206,threshold,5.0,-269.63427734375,13.032962799072266,12177.505859375,60.73154830932617,5.105480194091797,248,5.105480194091797
207,threshold,5.0,-207.87191772460938,12.410637855529785,8724.2197265625,54.922996520996094,4.956090927124023,207,4.982095718383789
208,threshold,5.0,-309.2269592285156,13.429218292236328,14521.3818359375,64.44415283203125,5.1825127601623535,248,5.1825127601623535
209,threshold,5.0,-322.5791931152344,12.869644165039062,20362.248046875,57.1814079284668,5.073390007019043,248,5.073390007019043
210,threshold,5.0,-231.12525939941406,12.471031188964844,10256.611328125,57.81564712524414,4.966557025909424,195,4.994203090667725
211,threshold,5.0,-293.5186767578125,13.327938079833984,14992.1083984375,58.92141342163086,5.162932872772217,248,5.162932872772217
212,threshold,5.0,-251.15159606933594,12.483039855957031,12061.234375,57.102073669433594,4.9881272315979,247,4.996606826782227
213,threshold,5.0,-250.22718811035156,13.219947814941406,11858.5,57.6864013671875,5.141973972320557,248,5.141973972320557
214,threshold,5.0,-354.12286376953125,19.713401794433594,12621.6396484375,63.140052795410156,6.27907657623291,248,6.27907657623291
215,threshold,5.0,-254.4791259765625,13.193675994873047,12094.4755859375,57.4690055847168,5.136862277984619,248,5.136862277984619
216,threshold,5.0,-380.8099670410156,22.678544998168945,11409.373046875,65.25145721435547,6.734766960144043,248,6.734766960144043
217,threshold,5.0,-224.97357177734375,12.480941772460938,9250.8134765625,56.746856689453125,4.979468822479248,223,4.99618673324585
218,threshold,5.0,-361.950927734375,17.679000854492188,16398.701171875,62.763465881347656,5.946259498596191,248,5.946259498596191
219,threshold,5.0,-401.14715576171875,17.409072875976562,22867.126953125,56.386478424072266,5.900690078735352,248,5.900690078735352
220,threshold,5.0,-238.5238494873047,12.462039947509766,11497.7509765625,59.10484313964844,4.969949722290039,219,4.992402076721191
221,threshold,5.0,-233.28273010253906,12.429878234863281,10460.2568359375,57.77097702026367,4.975522518157959,227,4.985955715179443
222,threshold,5.0,-323.0624084472656,16.47264862060547,13253.3974609375,62.09615707397461,5.739799499511719,248,5.739799499511719
223,threshold,5.0,-547.8529663085938,26.6079044342041,25503.5390625,48.81427001953125,7.29491662979126,248,7.29491662979126
224,threshold,5.0,-239.34597778320312,12.486742973327637,11112.3642578125,57.69072341918945,4.9796295166015625,223,4.997347831726074
225,threshold,5.0,-235.38552856445312,12.450566291809082,14019.4892578125,53.89603042602539,4.979831218719482,210,4.990103244781494
226,threshold,5.0,-229.10470581054688,12.482488632202148,13278.3740234375,54.174720764160156,4.986867904663086,229,4.996496677398682
227,threshold,5.0,-238.80294799804688,12.48638916015625,14073.439453125,56.04143524169922,4.96730375289917,178,4.99727725982666
228,threshold,5.0,-441.56219482421875,20.11328125,23623.72265625,49.51273727416992,6.342441558837891,248,6.342441558837891
229,threshold,5.0,-428.2621765136719,26.15516471862793,15015.958984375,52.56993103027344,7.232587814331055,248,7.232587814331055
230,threshold,5.0,-246.00106811523438,12.48497200012207,11235.6943359375,59.54403305053711,4.985011100769043,238,4.996993541717529
231,threshold,5.0,-399.1351013183594,19.092039108276367,18340.7109375,68.500732421875,6.17932653427124,248,6.17932653427124
232,threshold,5.0,-215.70510864257812,12.477776527404785,11146.7177734375,53.58679962158203,4.965579509735107,167,4.995553493499756
233,threshold,5.0,-219.6160125732422,12.421682357788086,11894.1708984375,53.90846252441406,4.962892532348633,204,4.984312057495117
234,threshold,5.0,-252.12525939941406,13.364765167236328,10865.3662109375,57.1254768371582,5.170061111450195,248,5.170061111450195
235,threshold,5.0,-350.10986328125,20.540634155273438,15523.3984375,52.02475357055664,6.4094672203063965,248,6.4094672203063965
236,threshold,5.0,-289.30279541015625,17.031328201293945,11848.8427734375,53.027748107910156,5.83632230758667,248,5.83632230758667
237,threshold,5.0,-249.9083251953125,13.718170166015625,9624.259765625,54.397430419921875,5.23797082901001,248,5.23797082901001
238,threshold,5.0,-241.34744262695312,12.460891723632812,12525.361328125,53.72287368774414,4.969815731048584,229,4.9921722412109375
239,threshold,5.0,-234.1007537841797,12.465261459350586,10971.1435546875,57.04103469848633,4.9733171463012695,207,4.99304723739624
240,threshold,5.0,-213.3140411376953,12.350436210632324,13950.5,51.56884765625,4.948421478271484,181,4.969997406005859
241,threshold,5.0,-352.27459716796875,18.554988861083984,14385.642578125,64.72665405273438,6.091795921325684,248,6.091795921325684
242,threshold,5.0,-277.3116760253906,13.246580123901367,13337.1005859375,59.16611099243164,5.14715051651001,248,5.14715051651001
243,threshold,5.0,-454.8804931640625,19.33807373046875,23868.25390625,66.46601867675781,6.219015121459961,248,6.219015121459961
244,threshold,5.0,-276.490234375,12.920392036437988,13446.095703125,61.66438293457031,5.083383083343506,248,5.083383083343506
245,threshold,5.0,-367.0147399902344,18.199012756347656,16505.3984375,63.0187873840332,6.033077716827393,248,6.033077716827393
246,threshold,5.0,-279.41522216796875,13.845629692077637,13433.40625,59.12903594970703,5.262248516082764,248,5.262248516082764
247,threshold,5.0,-544.8970947265625,25.493730545043945,25267.66796875,67.83000183105469,7.14055061340332,248,7.14055061340332
248,threshold,5.0,-264.74163818359375,12.93614387512207,12136.5517578125,62.242835998535156,5.086481094360352,248,5.086481094360352
249,threshold,5.0,-230.9842529296875,12.473316192626953,10892.9091796875,56.2820930480957,4.9796576499938965,227,4.994660377502441
250,threshold,5.0,-315.5048828125,17.760082244873047,11923.083984375,59.01483154296875,5.959879398345947,248,5.959879398345947
251,threshold,5.0,-347.5335388183594,17.673542022705078,15987.060546875,60.48517608642578,5.94534158706665,248,5.94534158706665
252,threshold,5.0,-255.06692504882812,13.29827880859375,11449.173828125,57.792484283447266,5.157185077667236,248,5.157185077667236
253,threshold,5.0,-270.46099853515625,18.423763275146484,8796.611328125,56.25428771972656,6.070216178894043,248,6.070216178894043
254,threshold,5.0,-356.15380859375,21.399057388305664,13828.1787109375,59.27231979370117,6.542026996612549,248,6.542026996612549
255,threshold,5.0,-234.009521484375,12.470362663269043,10792.822265625,56.139183044433594,4.979427337646484,234,4.9940690994262695
